Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DHI Units,DNI Units,GHI Units,Temperature Units,Wind Speed Units
NSRDB,20013,Jodhpur,Rajasthan,India,26.35,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,m/s
,,,,,,,,,,,,,,
Hour,GHI,DHI,Temperature,Wind Speed,,,,,,,,,,
3504,0,0,35,0.2,,,,,,,,,,
3505,0,0,35,0.2,,,,,,,,,,
3506,0,0,34,0.2,,,,,,,,,,
3507,0,0,33,0.2,,,,,,,,,,
3508,0,0,33,0.2,,,,,,,,,,
3509,0,0,32,0.2,,,,,,,,,,
3510,0,0,32,0.3,,,,,,,,,,
3511,50,47,34,0.3,,,,,,,,,,
3512,244,165,37,0.3,,,,,,,,,,
3513,470,214,42,0.2,,,,,,,,,,
3514,671,254,45,0.1,,,,,,,,,,
3515,842,281,48,0,,,,,,,,,,
3516,946,296,49,0,,,,,,,,,,
3517,985,301,50,0,,,,,,,,,,
3518,956,297,49,0.1,,,,,,,,,,
3519,855,319,49,0.1,,,,,,,,,,
3520,504,368,47,0.2,,,,,,,,,,
3521,506,234,45,0.2,,,,,,,,,,
3522,278,180,43,0.2,,,,,,,,,,
3523,80,73,41,0.2,,,,,,,,,,
3524,0,0,39,0.2,,,,,,,,,,
3525,0,0,38,0.2,,,,,,,,,,
3526,0,0,38,0.2,,,,,,,,,,
3527,0,0,37,0.2,,,,,,,,,,
3528,0,0,36,0.2,,,,,,,,,,
3529,0,0,35,0.2,,,,,,,,,,
3530,0,0,35,0.2,,,,,,,,,,
3531,0,0,34,0.2,,,,,,,,,,
3532,0,0,33,0.2,,,,,,,,,,
3533,0,0,32,0.2,,,,,,,,,,
3534,0,0,32,0.2,,,,,,,,,,
3535,51,47,33,0.3,,,,,,,,,,
3536,244,165,36,0.3,,,,,,,,,,
3537,471,214,40,0.3,,,,,,,,,,
3538,666,258,43,0.4,,,,,,,,,,
3539,831,280,46,0.4,,,,,,,,,,
3540,942,295,47,0.4,,,,,,,,,,
3541,982,300,48,0.4,,,,,,,,,,
3542,954,296,48,0.4,,,,,,,,,,
3543,860,283,48,0.4,,,,,,,,,,
3544,701,293,47,0.4,,,,,,,,,,
3545,419,284,45,0.4,,,,,,,,,,
3546,295,185,43,0.4,,,,,,,,,,
3547,73,69,41,0.4,,,,,,,,,,
3548,0,0,39,0.4,,,,,,,,,,
3549,0,0,38,0.4,,,,,,,,,,
3550,0,0,38,0.4,,,,,,,,,,
3551,0,0,37,0.4,,,,,,,,,,
3552,0,0,36,0.5,,,,,,,,,,
3553,0,0,35,0.5,,,,,,,,,,
3554,0,0,34,0.5,,,,,,,,,,
3555,0,0,33,0.5,,,,,,,,,,
3556,0,0,33,0.5,,,,,,,,,,
3557,0,0,32,0.5,,,,,,,,,,
3558,0,0,31,0.4,,,,,,,,,,
3559,51,47,33,0.4,,,,,,,,,,
3560,251,165,35,0.4,,,,,,,,,,
3561,472,213,38,0.5,,,,,,,,,,
3562,671,254,40,0.5,,,,,,,,,,
3563,830,278,43,0.5,,,,,,,,,,
3564,932,292,44,0.6,,,,,,,,,,
3565,970,297,45,0.6,,,,,,,,,,
3566,940,293,45,0.6,,,,,,,,,,
3567,846,280,45,0.6,,,,,,,,,,
3568,697,257,44,0.6,,,,,,,,,,
3569,506,221,43,0.6,,,,,,,,,,
3570,288,180,41,0.6,,,,,,,,,,
3571,78,72,40,0.5,,,,,,,,,,
3572,0,0,39,0.5,,,,,,,,,,
3573,0,0,38,0.5,,,,,,,,,,
3574,0,0,37,0.5,,,,,,,,,,
3575,0,0,36,0.5,,,,,,,,,,
3576,0,0,35,0.5,,,,,,,,,,
3577,0,0,34,0.5,,,,,,,,,,
3578,0,0,33,0.5,,,,,,,,,,
3579,0,0,32,0.5,,,,,,,,,,
3580,0,0,32,0.5,,,,,,,,,,
3581,0,0,31,0.5,,,,,,,,,,
3582,0,0,30,0.4,,,,,,,,,,
3583,52,48,31,0.4,,,,,,,,,,
3584,251,165,33,0.4,,,,,,,,,,
3585,472,213,36,0.4,,,,,,,,,,
3586,669,252,39,0.3,,,,,,,,,,
3587,827,277,42,0.3,,,,,,,,,,
3588,930,292,45,0.2,,,,,,,,,,
3589,969,297,47,0.2,,,,,,,,,,
3590,941,293,48,0.2,,,,,,,,,,
3591,848,280,47,0.2,,,,,,,,,,
3592,699,257,46,0.2,,,,,,,,,,
3593,508,221,45,0.3,,,,,,,,,,
3594,290,180,43,0.3,,,,,,,,,,
3595,80,73,41,0.3,,,,,,,,,,
3596,0,0,39,0.3,,,,,,,,,,
3597,0,0,39,0.4,,,,,,,,,,
3598,0,0,38,0.4,,,,,,,,,,
3599,0,0,37,0.4,,,,,,,,,,
3600,0,0,36,0.4,,,,,,,,,,
3601,0,0,35,0.5,,,,,,,,,,
3602,0,0,34,0.5,,,,,,,,,,
3603,0,0,33,0.5,,,,,,,,,,
3604,0,0,32,0.5,,,,,,,,,,
3605,0,0,31,0.4,,,,,,,,,,
3606,0,0,31,0.3,,,,,,,,,,
3607,52,50,32,0.3,,,,,,,,,,
3608,234,166,35,0.2,,,,,,,,,,
3609,460,227,38,0.2,,,,,,,,,,
3610,615,314,42,0.2,,,,,,,,,,
3611,496,404,45,0.2,,,,,,,,,,
3612,892,413,46,0.2,,,,,,,,,,
3613,963,295,47,0.2,,,,,,,,,,
3614,933,320,47,0.3,,,,,,,,,,
3615,843,279,47,0.3,,,,,,,,,,
3616,695,256,46,0.3,,,,,,,,,,
3617,506,220,44,0.3,,,,,,,,,,
3618,296,166,42,0.4,,,,,,,,,,
3619,86,77,40,0.4,,,,,,,,,,
3620,0,0,39,0.4,,,,,,,,,,
3621,0,0,38,0.4,,,,,,,,,,
3622,0,0,37,0.4,,,,,,,,,,
